SKUID,Catalogue,ProductName,ProductDescription,RevenueType,PLPostingGroup,ServiceArea,ServiceGroup,,ServiceAreaOwner
100,Consultancy,Azure Cloud Migration,"Comprehensive consultancy services for migrating on-premises infrastructure to Microsoft Azure. Includes assessment, planning, and execution phases.",Consultancy Services,Consulting,Cloud Solutions,Azure Migration,,ejaz.hussain@ejazhussain.onmicrosoft.com
101,Training,Power BI Training Program,"Specialized training program for Power BI, covering data visualization, analytics, and report generation. Suitable for all skill levels.",Training Services,Education,Business Intelligence,Data Analytics,,ejaz.hussain@ejazhussain.onmicrosoft.com
102,Managed Services,Office 365 Management,"Ongoing management and support services for Microsoft Office 365. Ensures optimal performance, security, and user assistance.",Managed Services,Operations,Productivity Tools,Office 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
103,Development,Custom SharePoint Solutions,"Bespoke development of SharePoint solutions tailored to organizational needs. Enhance collaboration, workflow automation, and document management.",Development Services,Development,Collaboration Tools,SharePoint,,ejaz.hussain@ejazhussain.onmicrosoft.com
104,Consultancy,Microsoft 365 Security Audit,"Thorough security audit services for Microsoft 365 environments. Identify vulnerabilities, implement best practices, and enhance overall security posture.",Consultancy Services,Consulting,Security,Microsoft 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
105,Training,Dynamics 365 Training Workshop,"Hands-on training workshop for Microsoft Dynamics 365, covering customization, integration, and user adoption best practices.",Training Services,Education,Customer Relationship Management,Dynamics 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
106,Managed Services,Azure DevOps Support,"Ongoing support and optimization services for Azure DevOps, ensuring efficient software development and continuous integration/continuous deployment (CI/CD).",Managed Services,Operations,Development Tools,Azure DevOps,,ejaz.hussain@ejazhussain.onmicrosoft.com
107,Development,PowerApps Development,Custom development of PowerApps solutions to streamline business processes and enhance productivity. Tailored to specific organizational needs.,Development Services,Development,Application Development,PowerApps,,ejaz.hussain@ejazhussain.onmicrosoft.com
108,Consultancy,Microsoft Teams Collaboration,"Consultancy services for optimizing Microsoft Teams collaboration, including best practices, governance, and user training.",Consultancy Services,Consulting,Collaboration Tools,Microsoft Teams,,ejaz.hussain@ejazhussain.onmicrosoft.com
109,Training,Azure Certification Bootcamp,"Intensive bootcamp training for Azure certifications, covering key concepts, practical exercises, and exam preparation strategies.",Training Services,Education,Cloud Solutions,Azure Certification,,ejaz.hussain@ejazhussain.onmicrosoft.com
110,Managed Services,SQL Server Database Management,"Comprehensive management and optimization services for SQL Server databases, ensuring performance, reliability, and security.",Managed Services,Operations,Database Management,SQL Server,,ejaz.hussain@ejazhussain.onmicrosoft.com
111,Development,Power Automate Workflow Automation,Design and implementation of automated workflows using Microsoft Power Automate. Improve business processes and reduce manual tasks.,Development Services,Development,Automation,Power Automate,,ejaz.hussain@ejazhussain.onmicrosoft.com
112,Consultancy,Windows Virtual Desktop Deployment,"Consultancy and deployment services for Windows Virtual Desktop, enabling secure and scalable virtualized desktop environments.",Consultancy Services,Consulting,Virtualization,Windows Virtual Desktop,,ejaz.hussain@ejazhussain.onmicrosoft.com
113,Training,SharePoint End User Training,"Training program for SharePoint end users, covering document management, collaboration features, and best practices.",Training Services,Education,Collaboration Tools,SharePoint,,ejaz.hussain@ejazhussain.onmicrosoft.com
114,Managed Services,Exchange Online Management,Ongoing management and support services for Microsoft Exchange Online. Ensure email communication reliability and security.,Managed Services,Operations,Communication Tools,Exchange Online,,ejaz.hussain@ejazhussain.onmicrosoft.com
115,Development,Custom Power BI Dashboards,"Development of customized Power BI dashboards, providing actionable insights and visualizations tailored to organizational needs.",Development Services,Development,Business Intelligence,Power BI,,ejaz.hussain@ejazhussain.onmicrosoft.com
116,Consultancy,Microsoft 365 Governance Advisory,"Advisory services for Microsoft 365 governance, including policy development, compliance, and risk management.",Consultancy Services,Consulting,Governance,Microsoft 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
117,Training,Dynamics 365 User Adoption Workshop,"Workshop focused on enhancing user adoption of Dynamics 365, covering user engagement strategies and best practices.",Training Services,Education,Customer Relationship Management,Dynamics 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
118,Managed Services,SharePoint Online Support,Ongoing support and maintenance services for SharePoint Online. Ensure optimal performance and user satisfaction.,Managed Services,Operations,Collaboration Tools,SharePoint Online,,ejaz.hussain@ejazhussain.onmicrosoft.com
119,Development,Microsoft 365 App Integration,"Integration of custom apps with Microsoft 365, enhancing productivity and collaboration within the Microsoft ecosystem.",Development Services,Development,Integration,Microsoft 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
120,Consultancy,Identity and Access Management Consultation,"Consultancy services for implementing robust identity and access management solutions, ensuring security and compliance.",Consultancy Services,Consulting,Security,Identity Management,,ejaz.hussain@ejazhussain.onmicrosoft.com
121,Training,Power Platform Citizen Developer Training,Training program empowering citizen developers to create solutions using the Microsoft Power Platform.,Training Services,Education,Application Development,Power Platform,,ejaz.hussain@ejazhussain.onmicrosoft.com
122,Managed Services,Azure Resource Optimization,"Ongoing optimization services for Azure resources, ensuring cost-effectiveness and performance scalability.",Managed Services,Operations,Cloud Solutions,Azure Optimization,,ejaz.hussain@ejazhussain.onmicrosoft.com
123,Development,Teams App Development,"Custom development of Microsoft Teams apps, enhancing collaboration and extending functionality within the Teams platform.",Development Services,Development,Collaboration Tools,Microsoft Teams,,ejaz.hussain@ejazhussain.onmicrosoft.com
124,Consultancy,Microsoft Endpoint Security Advisory,"Advisory services for Microsoft Endpoint Security, including threat detection, response planning, and security policy optimization.",Consultancy Services,Consulting,Security,Endpoint Security,,ejaz.hussain@ejazhussain.onmicrosoft.com
125,Training,Power BI Dashboard Design Workshop,Workshop focused on designing effective and visually appealing Power BI dashboards for data-driven decision-making.,Training Services,Education,Business Intelligence,Power BI,,ejaz.hussain@ejazhussain.onmicrosoft.com
126,Managed Services,Dynamics 365 Support,Ongoing support and maintenance services for Microsoft Dynamics 365. Ensure system stability and user satisfaction.,Managed Services,Operations,Customer Relationship Management,Dynamics 365,,ejaz.hussain@ejazhussain.onmicrosoft.com
127,Development,SharePoint Intranet Development,"Custom development of intranet solutions using SharePoint, promoting internal communication and collaboration.",Development Services,Development,Intranet Solutions,SharePoint,,Alan.Partridge@ejazhussain.onmicrosoft.com
